,RMNH.INS.1271298_An_messeae - ND4L gene,RMNH.INS.1271299_An_messeae - ND4L gene,RMNH.INS.1271300_An_messeae - ND4L gene,RMNH.INS.1271301_Cq_richiardii - ND4L gene,RMNH.INS.1271302_Cq_richiardii - ND4L gene,RMNH.INS.1271303_Cq_richiardii - ND4L gene,RMNH.INS.1271304_Ae_vexans - ND4L gene,RMNH.INS.1271305_Ae_vexans - ND4L gene,RMNH.INS.1271306_Ae_vexans - ND4L gene,RMNH.INS.1271307_Cs_annulata - ND4L gene,RMNH.INS.1271308_Cs_annulata - ND4L gene,RMNH.INS.1271309_Cs_annulata - ND4L gene,RMNH.INS.1271310_An_claviger - ND4L gene,RMNH.INS.1271311_An_claviger - ND4L gene,RMNH.INS.1271312_An_claviger - ND4L gene,RMNH.INS.1271313_Cx_modestus - ND4L gene,RMNH.INS.1271314_Cx_modestus - ND4L gene,RMNH.INS.1271315_Cx_modestus - ND4L gene,RMNH.INS.1271316_Cx_territans - ND4L gene,RMNH.INS.1271317_Cx_territans - ND4L gene,RMNH.INS.1271318_Cx_territans - ND4L gene,RMNH.INS.1271319_Ae_cinereus - ND4L gene,RMNH.INS.1271320_Ae_cinereus - ND4L gene,RMNH.INS.1271321_Ae_cinereus - ND4L gene,RMNH.INS.1271322_Cs_longiareolata - ND4L gene,RMNH.INS.1271323_Cs_longiareolata - ND4L gene,RMNH.INS.1271324_Cs_longiareolata - ND4L gene,RMNH.INS.1271325_Ae_annulipes_cantans - ND4L gene,RMNH.INS.1271326_Ae_annulipes_cantans - ND4L gene,RMNH.INS.1271327_Ae_annulipes_cantans - ND4L gene,RMNH.INS.1271328_Ae_annulipes_cantans - ND4L gene,RMNH.INS.1271329_Ae_annulipes_cantans - ND4L gene,RMNH.INS.1271330_Ae_annulipes_cantans - ND4L gene,RMNH.INS.1271331_Ae_rusticus - ND4L gene,RMNH.INS.1271332_Ae_rusticus - ND4L gene,RMNH.INS.1271333_Ae_rusticus - ND4L gene,RMNH.INS.1271334_Ae_communis - ND4L gene,RMNH.INS.1271335_Ae_communis - ND4L gene,RMNH.INS.1271336_Ae_communis - ND4L gene,RMNH.INS.1271337_Ae_punctor - ND4L gene,RMNH.INS.1271338_Ae_rusticus - ND4L gene,RMNH.INS.1271339_Ae_punctor - ND4L gene,RMNH.INS.1271340_Ae_geniculatus - ND4L gene,RMNH.INS.1271341_Ae_geniculatus - ND4L gene,RMNH.INS.1271342_Ae_geniculatus - ND4L gene,RMNH.INS.1271344_Cs_subochrea - ND4L gene,RMNH.INS.1271345_Cs_annulata - ND4L gene,RMNH.INS.1271346_Ae_caspius - ND4L gene,RMNH.INS.1271347_Ae_caspius - ND4L gene,RMNH.INS.1271348_Ae_caspius - ND4L gene,RMNH.INS.1271349_An_plumbeus_partial_genome - ND4L gene,RMNH.INS.1271350_An_plumbeus_partial_genome - ND4L gene,RMNH.INS.1271351_An_plumbeus_partial_genome - ND4L gene,RMNH.INS.1271352_Cs_annulata - ND4L gene,RMNH.INS.1271354_Cs_annulata - ND4L gene,RMNH.INS.1271355_Cx_pipiens - ND4L gene,RMNH.INS.1271356_Cx_pipiens - ND4L gene,RMNH.INS.1271357_Cx_pipiens - ND4L gene,RMNH.INS.1271358_Cs_morsitans - ND4L gene,RMNH.INS.1271359_Cs_morsitans - ND4L gene,RMNH.INS.1271360_Cs_morsitans - ND4L gene,RMNH.INS.1271361_Ae_sticticus - ND4L gene,RMNH.INS.1271362_Ae_sticticus - ND4L gene,RMNH.INS.1271363_Ae_sticticus - ND4L gene,RMNH.INS.1271367_Ae_detritus - ND4L gene,RMNH.INS.1271368_Ae_detritus - ND4L gene,RMNH.INS.1271369_Ae_caspius - ND4L gene,RMNH.INS.1271370_Ae_flavescens - ND4L gene,RMNH.INS.1271371_Ae_flavescens - ND4L gene,RMNH.INS.1271372_Ae_flavescens - ND4L gene,RMNH.INS.1271375_Ae_leucomelas - ND4L gene,RMNH.INS.1271376_Ae_albopictus - ND4L gene,RMNH.INS.1271377_Ae_albopictus - ND4L gene,RMNH.INS.1271378_Ae_albopictus - ND4L gene,RMNH.INS.1271379_Ae_japonicus - ND4L gene,RMNH.INS.1271380_Ae_japonicus - ND4L gene,RMNH.INS.1271381_Ae_japonicus - ND4L gene,RMNH.INS.1271382_Ae_aegypti - ND4L gene,RMNH.INS.1271383_Ae_aegypti - ND4L gene,RMNH.INS.1271384_Ae_aegypti - ND4L gene,RMNH.INS.1271386_Ae_cinereus - ND4L gene,RMNH.INS.1271389_Cs_ochroptera - ND4L gene
RMNH.INS.1271298_An_messeae - ND4L gene,,99.667,99,83,83,83,85.333,85.333,85.333,84.667,84.667,84.667,94,94,94,85,86,86,83.333,83.333,83.333,84,84.333,84.333,85,85,85,87,87.333,87.333,87,87,87,88.333,88.333,88,87.333,87.333,87.333,84.333,88.333,84.333,87.333,87.333,86.667,85.667,84.667,88.333,87.333,88,90,90,90,84.667,84.667,85.667,85.667,85.667,86,86,86,88,88,88,87,87.667,87.333,88,88,88,88,84.667,84.667,84.667,86.667,86.667,87,84.333,84.667,84,84.333,84.667
RMNH.INS.1271299_An_messeae - ND4L gene,99.667,,99.333,83.333,83.333,83.333,85.667,85.667,85.667,85,85,85,94.333,94.333,94.333,85.333,86.333,86.333,83.667,83.667,83.667,84.333,84.667,84.667,85.333,85.333,85.333,87.333,87.667,87.667,87.333,87.333,87.333,88.667,88.667,88.333,87.667,87.667,87.667,84.667,88.667,84.667,87.667,87.667,87,86,85,88.667,87.667,88.333,90.333,90.333,90.333,85,85,86,86,86,86.333,86.333,86.333,88.333,88.333,88.333,87.333,88,87.667,88.333,88.333,88.333,88.333,85,85,85,87,87,87.333,84.667,85,84.333,84.667,85
RMNH.INS.1271300_An_messeae - ND4L gene,99,99.333,,82.667,82.667,82.667,85,85,85,84.333,84.333,84.333,93.667,93.667,93.667,84.667,85.667,85.667,83,83,83,84.333,84.667,84.667,84.667,84.667,84.667,86.667,87,87,86.667,86.667,86.667,88,88,87.667,87,87,87,84,88,84,87,87,86.333,85.333,84.333,88,87,87.667,89.667,89.667,89.667,84.333,84.333,85.333,85.333,85.333,85.667,85.667,85.667,87.667,87.667,87.667,86.667,87.333,87,87.667,87.667,87.667,87.667,84.333,84.333,84.333,87,87,86.667,84.667,85,84.333,84.667,84.333
RMNH.INS.1271301_Cq_richiardii - ND4L gene,83,83.333,82.667,,100,100,87.542,87.542,87.542,87,87,87,82.333,82.333,82.333,88.552,89.562,89.562,86.869,86.869,86.869,86.532,86.869,86.869,87.333,87.333,87.333,87.205,87.542,86.869,87.205,87.205,87.205,87.205,87.205,86.869,86.532,86.532,86.532,83.838,86.869,83.838,88.215,88.215,87.542,86.333,87,87.879,87.879,88.215,81,81,81,87,87,87.879,87.879,87.879,87.333,87.333,87.333,86.869,86.869,86.869,86.532,87.879,87.879,86.869,86.869,86.869,88.215,87.205,87.205,87.205,85.522,85.522,85.859,86.532,86.532,86.195,86.869,87.333
RMNH.INS.1271302_Cq_richiardii - ND4L gene,83,83.333,82.667,100,,100,87.542,87.542,87.542,87,87,87,82.333,82.333,82.333,88.552,89.562,89.562,86.869,86.869,86.869,86.532,86.869,86.869,87.333,87.333,87.333,87.205,87.542,86.869,87.205,87.205,87.205,87.205,87.205,86.869,86.532,86.532,86.532,83.838,86.869,83.838,88.215,88.215,87.542,86.333,87,87.879,87.879,88.215,81,81,81,87,87,87.879,87.879,87.879,87.333,87.333,87.333,86.869,86.869,86.869,86.532,87.879,87.879,86.869,86.869,86.869,88.215,87.205,87.205,87.205,85.522,85.522,85.859,86.532,86.532,86.195,86.869,87.333
RMNH.INS.1271303_Cq_richiardii - ND4L gene,83,83.333,82.667,100,100,,87.542,87.542,87.542,87,87,87,82.333,82.333,82.333,88.552,89.562,89.562,86.869,86.869,86.869,86.532,86.869,86.869,87.333,87.333,87.333,87.205,87.542,86.869,87.205,87.205,87.205,87.205,87.205,86.869,86.532,86.532,86.532,83.838,86.869,83.838,88.215,88.215,87.542,86.333,87,87.879,87.879,88.215,81,81,81,87,87,87.879,87.879,87.879,87.333,87.333,87.333,86.869,86.869,86.869,86.532,87.879,87.879,86.869,86.869,86.869,88.215,87.205,87.205,87.205,85.522,85.522,85.859,86.532,86.532,86.195,86.869,87.333
RMNH.INS.1271304_Ae_vexans - ND4L gene,85.333,85.667,85,87.542,87.542,87.542,,100,100,88.667,88.667,88.667,85.667,85.667,85.667,87.879,88.552,88.552,86.195,86.195,86.195,92.929,93.603,93.266,87.667,87.667,87.667,94.613,94.949,94.276,94.613,94.613,94.613,94.276,94.276,93.939,93.266,93.266,93.266,90.572,94.276,90.572,93.939,93.939,93.266,90.333,88.667,95.286,95.286,95.623,83,83,83,88.667,88.667,89.562,89.562,89.562,88.667,88.667,88.667,93.939,93.939,93.939,93.266,94.613,95.286,94.276,94.276,94.276,95.623,92.256,92.256,92.256,91.582,91.582,91.919,91.582,91.582,91.582,93.266,88.333
RMNH.INS.1271305_Ae_vexans - ND4L gene,85.333,85.667,85,87.542,87.542,87.542,100,,100,88.667,88.667,88.667,85.667,85.667,85.667,87.879,88.552,88.552,86.195,86.195,86.195,92.929,93.603,93.266,87.667,87.667,87.667,94.613,94.949,94.276,94.613,94.613,94.613,94.276,94.276,93.939,93.266,93.266,93.266,90.572,94.276,90.572,93.939,93.939,93.266,90.333,88.667,95.286,95.286,95.623,83,83,83,88.667,88.667,89.562,89.562,89.562,88.667,88.667,88.667,93.939,93.939,93.939,93.266,94.613,95.286,94.276,94.276,94.276,95.623,92.256,92.256,92.256,91.582,91.582,91.919,91.582,91.582,91.582,93.266,88.333
RMNH.INS.1271306_Ae_vexans - ND4L gene,85.333,85.667,85,87.542,87.542,87.542,100,100,,88.667,88.667,88.667,85.667,85.667,85.667,87.879,88.552,88.552,86.195,86.195,86.195,92.929,93.603,93.266,87.667,87.667,87.667,94.613,94.949,94.276,94.613,94.613,94.613,94.276,94.276,93.939,93.266,93.266,93.266,90.572,94.276,90.572,93.939,93.939,93.266,90.333,88.667,95.286,95.286,95.623,83,83,83,88.667,88.667,89.562,89.562,89.562,88.667,88.667,88.667,93.939,93.939,93.939,93.266,94.613,95.286,94.276,94.276,94.276,95.623,92.256,92.256,92.256,91.582,91.582,91.919,91.582,91.582,91.582,93.266,88.333
RMNH.INS.1271307_Cs_annulata - ND4L gene,84.667,85,84.333,87,87,87,88.667,88.667,88.667,,100,100,84.667,84.667,84.667,87.333,88.333,88.333,87,87,87,87.333,87.667,87.667,89,89,89,89,89.333,88.667,89,89,89,88.333,88.333,88,90,90,90,87.667,88.333,87.667,88,88,87.333,97.667,100,89.667,89.667,90,84,84,84,100,100,89,89,89,90.667,90.667,90.667,89.333,89.333,89.333,88.667,90,89.667,88.667,88.667,88.667,89.333,86,86,86,87.333,87.333,87.667,85,85,85,87.667,90.667
